product;assembly;part_number;process_sequence;process;machine;processing_hours;working_hours_per_day;assigned_staff;maintenance_between_operations;maintenance_time_hours
Бобышка;Assembly_1;Part_00707;1;Forging;Кузнечный пресс 1;2,64;;;;
Бобышка;Assembly_1;Part_00707;2;Turning;Токарный станок 2;2,71;16;3;no;1,26
Бобышка;Assembly_1;Part_00707;3;Grinding;Шлифовальный станок 1;2,41;16;3;no;0,78
Бобышка;Assembly_11;Part_00621;1;Casting;Литейная установка 1;2,57;;;;
Бобышка;Assembly_11;Part_00621;2;Milling;Фрезерный станок 1;4,02;16;1;no;1,44
Бобышка;Assembly_11;Part_00621;3;Drilling;Сверлильный станок 1;1,52;16;3;yes;1,1
Бобышка;Assembly_12;Part_00334;1;Cutting;Ленточнопильный станок 2;1,03;16;2;yes;0,26
Бобышка;Assembly_12;Part_00334;2;Turning;Токарный станок 1;2,27;20;2;yes;0,49
Бобышка;Assembly_12;Part_00334;3;Heat treatment;Печь термообработки 1;6,41;20;1;no;0,2
Бобышка;Assembly_12;Part_00334;4;Grinding;Шлифовальный станок 1;2,06;16;3;no;0,78
Бобышка;Assembly_12;Part_00334;5;Polishing;Полировальный станок 1;0,55;24;2;yes;1,29
Бобышка;Assembly_13;Part_00073;1;Forging;Кузнечный пресс 1;3;;;;
Бобышка;Assembly_13;Part_00073;2;Turning;Токарный станок 1;4,11;20;2;yes;0,49
Бобышка;Assembly_13;Part_00073;3;Grinding;Шлифовальный станок 1;2,33;16;3;no;0,78
Бобышка;Assembly_14;Part_00387;1;Forging;Кузнечный пресс 1;3,26;;;;
Бобышка;Assembly_14;Part_00387;2;Turning;Токарный станок 1;3,14;20;2;yes;0,49
Бобышка;Assembly_14;Part_00387;3;Grinding;Шлифовальный станок 1;2,89;16;3;no;0,78
Бобышка;Assembly_14;Part_01083;1;Cutting;Ленточнопильный станок 2;1,39;16;2;yes;0,26
Бобышка;Assembly_14;Part_01083;2;Turning;Токарный станок 1;4,33;20;2;yes;0,49
Бобышка;Assembly_14;Part_01083;3;Heat treatment;Печь термообработки 1;7,91;20;1;no;0,2
Бобышка;Assembly_14;Part_01083;4;Grinding;Шлифовальный станок 1;2,01;16;3;no;0,78
Бобышка;Assembly_14;Part_01083;5;Polishing;Полировальный станок 1;0,93;24;2;yes;1,29
Бобышка;Assembly_14;Part_01309;1;Casting;Литейная установка 1;2,54;;;;
Бобышка;Assembly_14;Part_01309;2;Milling;Фрезерный станок 2;3,03;24;2;yes;0,67
Бобышка;Assembly_14;Part_01309;3;Drilling;Сверлильный станок 1;1,85;16;3;yes;1,1
Бобышка;Assembly_20;Part_01311;1;Cutting;Ленточнопильный станок 1;1,4;16;2;no;0,53
Бобышка;Assembly_20;Part_01311;2;Turning;Токарный станок 2;2,74;16;3;no;1,26
Бобышка;Assembly_20;Part_01311;3;Heat treatment;Печь термообработки 1;4,01;20;1;no;0,2
Бобышка;Assembly_20;Part_01311;4;Grinding;Шлифовальный станок 1;1,48;16;3;no;0,78
Бобышка;Assembly_20;Part_01311;5;Polishing;Полировальный станок 1;0,54;24;2;yes;1,29
Бобышка;Assembly_22;Part_01063;1;Cutting;Ленточнопильный станок 2;0,5;16;2;yes;0,26
Бобышка;Assembly_22;Part_01063;2;Milling;Фрезерный станок 2;5,01;24;2;yes;0,67
Бобышка;Assembly_22;Part_01063;3;Heat treatment;Печь термообработки 1;5,57;20;1;no;0,2
Бобышка;Assembly_22;Part_01063;4;Grinding;Шлифовальный станок 1;1,9;16;3;no;0,78
Бобышка;Assembly_23;Part_00876;1;Forging;Кузнечный пресс 1;2,7;;;;
Бобышка;Assembly_23;Part_00876;2;Turning;Токарный станок 2;1,91;16;3;no;1,26
Бобышка;Assembly_23;Part_00876;3;Grinding;Шлифовальный станок 1;2,57;16;3;no;0,78
Бобышка;Assembly_24;Part_01104;1;Forging;Кузнечный пресс 1;2,98;;;;
Бобышка;Assembly_24;Part_01104;2;Turning;Токарный станок 1;1,78;20;2;yes;0,49
Бобышка;Assembly_24;Part_01104;3;Grinding;Шлифовальный станок 1;2,97;16;3;no;0,78
Бобышка;Assembly_25;Part_00671;1;Forging;Кузнечный пресс 1;2,72;;;;
Бобышка;Assembly_25;Part_00671;2;Turning;Токарный станок 2;3,35;16;3;no;1,26
Бобышка;Assembly_25;Part_00671;3;Grinding;Шлифовальный станок 1;1,39;16;3;no;0,78
Бобышка;Assembly_27;Part_00458;1;Forging;Кузнечный пресс 1;2,6;;;;
Бобышка;Assembly_27;Part_00458;2;Turning;Токарный станок 2;4,76;16;3;no;1,26
Бобышка;Assembly_27;Part_00458;3;Grinding;Шлифовальный станок 1;2,25;16;3;no;0,78
Бобышка;Assembly_28;Part_00182;1;Forging;Кузнечный пресс 1;3,66;;;;
Бобышка;Assembly_28;Part_00182;2;Turning;Токарный станок 2;4,57;16;3;no;1,26
Бобышка;Assembly_28;Part_00182;3;Grinding;Шлифовальный станок 1;2,21;16;3;no;0,78
Бобышка;Assembly_28;Part_00438;1;Cutting;Ленточнопильный станок 2;1,42;16;2;yes;0,26
Бобышка;Assembly_28;Part_00438;2;Milling;Фрезерный станок 1;5,13;16;1;no;1,44
Бобышка;Assembly_28;Part_00438;3;Heat treatment;Печь термообработки 1;6,06;20;1;no;0,2
Бобышка;Assembly_28;Part_00438;4;Grinding;Шлифовальный станок 1;2;16;3;no;0,78
Бобышка;Assembly_28;Part_00928;1;Forging;Кузнечный пресс 1;2,88;;;;
Бобышка;Assembly_28;Part_00928;2;Turning;Токарный станок 2;3,62;16;3;no;1,26
Бобышка;Assembly_28;Part_00928;3;Grinding;Шлифовальный станок 1;1,02;16;3;no;0,78
Бобышка;Assembly_29;Part_00084;1;Cutting;Ленточнопильный станок 2;0,98;16;2;yes;0,26
Бобышка;Assembly_29;Part_00084;2;Milling;Фрезерный станок 2;5,71;24;2;yes;0,67
Бобышка;Assembly_29;Part_00084;3;Heat treatment;Печь термообработки 1;7,08;20;1;no;0,2
Бобышка;Assembly_29;Part_00084;4;Grinding;Шлифовальный станок 1;2,84;16;3;no;0,78
Бобышка;Assembly_29;Part_01092;1;Cutting;Ленточнопильный станок 2;1,38;16;2;yes;0,26
Бобышка;Assembly_29;Part_01092;2;Milling;Фрезерный станок 2;3,14;24;2;yes;0,67
Бобышка;Assembly_29;Part_01092;3;Heat treatment;Печь термообработки 1;4,49;20;1;no;0,2
Бобышка;Assembly_29;Part_01092;4;Grinding;Шлифовальный станок 1;2,39;16;3;no;0,78
Бобышка;Assembly_31;Part_00577;1;Forging;Кузнечный пресс 1;2,82;;;;
Бобышка;Assembly_31;Part_00577;2;Turning;Токарный станок 1;3,97;20;2;yes;0,49
Бобышка;Assembly_31;Part_00577;3;Grinding;Шлифовальный станок 1;2,87;16;3;no;0,78
Бобышка;Assembly_32;Part_00697;1;Cutting;Ленточнопильный станок 2;1,06;16;2;yes;0,26
Бобышка;Assembly_32;Part_00697;2;Milling;Фрезерный станок 2;5,92;24;2;yes;0,67
Бобышка;Assembly_32;Part_00697;3;Heat treatment;Печь термообработки 1;5,75;20;1;no;0,2
Бобышка;Assembly_32;Part_00697;4;Grinding;Шлифовальный станок 1;1,49;16;3;no;0,78
Бобышка;Assembly_33;Part_00244;1;Cutting;Ленточнопильный станок 2;1,4;16;2;yes;0,26
Бобышка;Assembly_33;Part_00244;2;Turning;Токарный станок 2;2,43;16;3;no;1,26
Бобышка;Assembly_33;Part_00244;3;Heat treatment;Печь термообработки 1;4,43;20;1;no;0,2
Бобышка;Assembly_33;Part_00244;4;Grinding;Шлифовальный станок 1;1,14;16;3;no;0,78
Бобышка;Assembly_33;Part_00244;5;Polishing;Полировальный станок 1;0,56;24;2;yes;1,29
Бобышка;Assembly_34;Part_00439;1;Cutting;Ленточнопильный станок 1;0,52;16;2;no;0,53
Бобышка;Assembly_34;Part_00439;2;Milling;Фрезерный станок 1;5,53;16;1;no;1,44
Бобышка;Assembly_34;Part_00439;3;Heat treatment;Печь термообработки 1;6,04;20;1;no;0,2
Бобышка;Assembly_34;Part_00439;4;Grinding;Шлифовальный станок 1;1,96;16;3;no;0,78
Бобышка;Assembly_36;Part_00765;1;Casting;Литейная установка 1;3,36;;;;
Бобышка;Assembly_36;Part_00765;2;Milling;Фрезерный станок 1;5,12;16;1;no;1,44
Бобышка;Assembly_36;Part_00765;3;Drilling;Сверлильный станок 1;1,3;16;3;yes;1,1
Бобышка;Assembly_37;Part_00874;1;Cutting;Ленточнопильный станок 1;1,26;16;2;no;0,53
Бобышка;Assembly_37;Part_00874;2;Milling;Фрезерный станок 1;2,89;16;1;no;1,44
Бобышка;Assembly_37;Part_00874;3;Drilling;Сверлильный станок 1;0,83;16;3;yes;1,1
Бобышка;Assembly_37;Part_00874;4;Grinding;Шлифовальный станок 1;1,82;16;3;no;0,78
Бобышка;Assembly_39;Part_00964;1;Cutting;Ленточнопильный станок 1;1,34;16;2;no;0,53
Бобышка;Assembly_39;Part_00964;2;Milling;Фрезерный станок 1;4,05;16;1;no;1,44
Бобышка;Assembly_39;Part_00964;3;Heat treatment;Печь термообработки 1;5,13;20;1;no;0,2
Бобышка;Assembly_39;Part_00964;4;Grinding;Шлифовальный станок 1;1,02;16;3;no;0,78
Бобышка;Assembly_4;Part_01186;1;Cutting;Ленточнопильный станок 2;0,64;16;2;yes;0,26
Бобышка;Assembly_4;Part_01186;2;Milling;Фрезерный станок 2;2,71;24;2;yes;0,67
Бобышка;Assembly_4;Part_01186;3;Drilling;Сверлильный станок 1;1,62;16;3;yes;1,1
Бобышка;Assembly_4;Part_01186;4;Grinding;Шлифовальный станок 1;1,42;16;3;no;0,78
Бобышка;Assembly_4;Part_01275;1;Casting;Литейная установка 1;4,62;;;;
Бобышка;Assembly_4;Part_01275;2;Milling;Фрезерный станок 2;3,07;24;2;yes;0,67
Бобышка;Assembly_4;Part_01275;3;Drilling;Сверлильный станок 1;0,73;16;3;yes;1,1
Бобышка;Assembly_40;Part_00193;1;Casting;Литейная установка 1;4,03;;;;
Бобышка;Assembly_40;Part_00193;2;Milling;Фрезерный станок 1;2,35;16;1;no;1,44
Бобышка;Assembly_40;Part_00193;3;Drilling;Сверлильный станок 1;1,4;16;3;yes;1,1
Бобышка;Assembly_40;Part_00881;1;Cutting;Ленточнопильный станок 2;1,37;16;2;yes;0,26
Бобышка;Assembly_40;Part_00881;2;Milling;Фрезерный станок 2;3,88;24;2;yes;0,67
Бобышка;Assembly_40;Part_00881;3;Heat treatment;Печь термообработки 1;3,88;20;1;no;0,2
Бобышка;Assembly_40;Part_00881;4;Grinding;Шлифовальный станок 1;1,08;16;3;no;0,78
Бобышка;Assembly_41;Part_00109;1;Cutting;Ленточнопильный станок 1;1,06;16;2;no;0,53
Бобышка;Assembly_41;Part_00109;2;Turning;Токарный станок 1;2,29;20;2;yes;0,49
